signal,horizon,group_type,group,ic,n_obs
sue_w,40,report_period,2023-03-31,-0.006806439467440619,4475
sue_w,40,report_period,2023-06-30,-0.12437754989028345,4581
sue_w,40,report_period,2023-09-30,-0.00845443709111532,4626
sue_w,40,report_period,2023-12-31,0.02047583343330098,4678
sue_w,40,report_period,2024-03-31,0.15576571295233324,4685
sue_w,40,report_period,2024-06-30,-0.09299279441487049,4693
sue_w,60,report_period,2019-03-31,0.12741647707442952,3255
sue_w,60,report_period,2019-06-30,0.07528854022585756,3280
sue_w,60,report_period,2019-09-30,0.08362154604814985,3315
sue_w,60,report_period,2019-12-31,-0.021884734652565817,3367
sue_w,60,report_period,2020-03-31,0.11962850639122549,3395
sue_w,60,report_period,2020-06-30,-0.06286840928801266,3469
sue_w,60,report_period,2020-09-30,0.1298494767336994,3569
sue_w,60,report_period,2020-12-31,-0.013711300392520234,3677
sue_w,60,report_period,2021-03-31,0.15669930018725092,3740
sue_w,60,report_period,2021-06-30,-0.11316996180056486,3889
sue_w,60,report_period,2021-09-30,-0.17468688639037125,3963
sue_w,60,report_period,2021-12-31,-0.0830328311048575,4115
sue_w,60,report_period,2022-03-31,0.018270647803911362,4155
sue_w,60,report_period,2022-06-30,-0.12057637849487934,4237
sue_w,60,report_period,2022-09-30,-0.11563837821315995,4310
sue_w,60,report_period,2022-12-31,-0.0705397055968997,4428
sue_w,60,report_period,2023-03-31,-0.03352242189524062,4475
sue_w,60,report_period,2023-06-30,-0.13513295580593415,4581
sue_w,60,report_period,2023-09-30,0.1574059151392897,4626
sue_w,60,report_period,2023-12-31,0.027680419632574924,4678
sue_w,60,report_period,2024-03-31,0.1286174634554348,4685
sue_w,60,report_period,2024-06-30,-0.14988813800598436,235
sue_z,1,report_period,2019-03-31,0.06489528397869951,3255
sue_z,1,report_period,2019-06-30,0.00169430788496983,3280
sue_z,1,report_period,2019-09-30,0.02273318605491621,3315
sue_z,1,report_period,2019-12-31,0.006021353026363019,3367
sue_z,1,report_period,2020-03-31,0.06923978345786867,3396
sue_z,1,report_period,2020-06-30,0.025020194638199503,3469
sue_z,1,report_period,2020-09-30,-0.020914077068910325,3569
sue_z,1,report_period,2020-12-31,0.03808781209465815,3677
sue_z,1,report_period,2021-03-31,0.07427090598560097,3740
sue_z,1,report_period,2021-06-30,0.015213674694352027,3889
sue_z,1,report_period,2021-09-30,-0.06715541866479191,3963
sue_z,1,report_period,2021-12-31,-0.01180166158860439,4115
sue_z,1,report_period,2022-03-31,0.0709616548158927,4155
sue_z,1,report_period,2022-06-30,-0.03497345901912215,4237
sue_z,1,report_period,2022-09-30,-0.05182836584133742,4310
sue_z,1,report_period,2022-12-31,-0.008418675622195759,4428
sue_z,1,report_period,2023-03-31,0.08325519163206016,4475
sue_z,1,report_period,2023-06-30,-0.03150119175606543,4581
sue_z,1,report_period,2023-09-30,-0.03628859633336168,4626
sue_z,1,report_period,2023-12-31,-0.03609911642010572,4678
sue_z,1,report_period,2024-03-31,0.04895904365968913,4685
sue_z,1,report_period,2024-06-30,-0.018790918611576193,4694
sue_z,5,report_period,2019-03-31,0.03230691144002649,3255
sue_z,5,report_period,2019-06-30,0.015292174357184513,3280
sue_z,5,report_period,2019-09-30,0.0859447981461501,3315
sue_z,5,report_period,2019-12-31,-0.012919480889760988,3367
sue_z,5,report_period,2020-03-31,0.08390336069738391,3396
sue_z,5,report_period,2020-06-30,-0.041776573777471425,3469
sue_z,5,report_period,2020-09-30,-0.06200142793567897,3569
sue_z,5,report_period,2020-12-31,-0.044895005154133485,3677
sue_z,5,report_period,2021-03-31,0.056868921992331706,3740
sue_z,5,report_period,2021-06-30,-0.01780734035658755,3889
sue_z,5,report_period,2021-09-30,-0.17084327027960253,3963
sue_z,5,report_period,2021-12-31,-0.09058066444459191,4115
sue_z,5,report_period,2022-03-31,0.02639211633588467,4155
sue_z,5,report_period,2022-06-30,-0.03944860021824836,4237
sue_z,5,report_period,2022-09-30,-0.08120540031102078,4310
sue_z,5,report_period,2022-12-31,-0.04429450662525738,4428
sue_z,5,report_period,2023-03-31,0.02656196367710801,4475
sue_z,5,report_period,2023-06-30,-0.07003414521365309,4581
sue_z,5,report_period,2023-09-30,-0.14486654111669184,4626
sue_z,5,report_period,2023-12-31,-0.07437960265297268,4678
sue_z,5,report_period,2024-03-31,0.03689278745022743,4685
sue_z,5,report_period,2024-06-30,-0.023863136059430648,4693
sue_z,10,report_period,2019-03-31,0.03773301765373193,3255
sue_z,10,report_period,2019-06-30,-0.03244131062176511,3280
sue_z,10,report_period,2019-09-30,0.0640016057022108,3315
sue_z,10,report_period,2019-12-31,-0.018333116985679868,3367
sue_z,10,report_period,2020-03-31,0.07444247940539829,3396
sue_z,10,report_period,2020-06-30,-0.07288036485616674,3469
sue_z,10,report_period,2020-09-30,-0.10027852034893901,3569
sue_z,10,report_period,2020-12-31,-0.08370505111346623,3677
sue_z,10,report_period,2021-03-31,0.05169028249031534,3740
sue_z,10,report_period,2021-06-30,0.007172804545794514,3889
sue_z,10,report_period,2021-09-30,-0.22510002639542104,3963
sue_z,10,report_period,2021-12-31,-0.0852921225229185,4115
sue_z,10,report_period,2022-03-31,0.013755581332529854,4155
sue_z,10,report_period,2022-06-30,-0.029762643210679736,4237
sue_z,10,report_period,2022-09-30,-0.12319022319214389,4310
