code,error
605577,"DataSourceError: stock_financial_abstract_ths({'symbol': '605577', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605566,"DataSourceError: stock_financial_abstract_ths({'symbol': '605566', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605555,"DataSourceError: stock_financial_abstract_ths({'symbol': '605555', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605588,"DataSourceError: stock_financial_abstract_ths({'symbol': '605588', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605589,"DataSourceError: stock_financial_abstract_ths({'symbol': '605589', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605580,"DataSourceError: stock_financial_abstract_ths({'symbol': '605580', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605598,"DataSourceError: stock_financial_abstract_ths({'symbol': '605598', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688001,"DataSourceError: stock_financial_abstract_ths({'symbol': '688001', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605599,"DataSourceError: stock_financial_abstract_ths({'symbol': '605599', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688002,"DataSourceError: stock_financial_abstract_ths({'symbol': '688002', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688003,"DataSourceError: stock_financial_abstract_ths({'symbol': '688003', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688005,"DataSourceError: stock_financial_abstract_ths({'symbol': '688005', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688004,"DataSourceError: stock_financial_abstract_ths({'symbol': '688004', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688006,"DataSourceError: stock_financial_abstract_ths({'symbol': '688006', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688007,"DataSourceError: stock_financial_abstract_ths({'symbol': '688007', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688009,"DataSourceError: stock_financial_abstract_ths({'symbol': '688009', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688008,"DataSourceError: stock_financial_abstract_ths({'symbol': '688008', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688010,"DataSourceError: stock_financial_abstract_ths({'symbol': '688010', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688011,"DataSourceError: stock_financial_abstract_ths({'symbol': '688011', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688013,"DataSourceError: stock_financial_abstract_ths({'symbol': '688013', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688012,"DataSourceError: stock_financial_abstract_ths({'symbol': '688012', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688015,"DataSourceError: stock_financial_abstract_ths({'symbol': '688015', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688016,"DataSourceError: stock_financial_abstract_ths({'symbol': '688016', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688017,"DataSourceError: stock_financial_abstract_ths({'symbol': '688017', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688019,"DataSourceError: stock_financial_abstract_ths({'symbol': '688019', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688018,"DataSourceError: stock_financial_abstract_ths({'symbol': '688018', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688020,"DataSourceError: stock_financial_abstract_ths({'symbol': '688020', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688023,"DataSourceError: stock_financial_abstract_ths({'symbol': '688023', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
