dimension,variant,signal,horizon,top_pct,aum,n_cohorts,n_events_used,n_names_mean,gross_annual_return,net_annual_return,gross_sharpe,net_sharpe,net_max_drawdown,benchmark_annual_return,tracking_error,information_ratio,net_information_ratio,mean_cost,hit_rate_active,capacity_median
signal,net_profit_yoy_calc,net_profit_yoy_calc,,,,41.0,71875.0,351.0975609756098,0.1130711930229924,0.022390739293685735,0.5534786356921274,0.20919406245789038,-0.39895119165729986,0.2197625983884237,0.07553000566558865,-1.1932915735670844,-2.1065165466459566,0.00704774384193905,0.34146341463414637,413596078.60300004
signal,revenue_yoy_calc,revenue_yoy_calc,,,,41.0,71847.0,350.9756097560976,0.22386000170485776,0.12528282988164263,0.8216443202915564,0.5406645380110556,-0.27324579516734226,0.2200215503276981,0.11835834678433237,0.1364585608464589,-0.6577329070471774,0.00714691326076013,0.4146341463414634,407865897.84000003
signal,eps_yoy_calc,eps_yoy_calc,,,,41.0,71683.0,350.0487804878049,0.10533181781826717,0.015671024698288516,0.5256651936976483,0.18305553964068025,-0.4019595832817541,0.21999965581593384,0.07375190095908972,-1.3203766632229568,-2.194555031136875,0.007004474562697987,0.3902439024390244,434743006.3410001
top_pct,top=10%,,,0.1,,51.0,87892.0,172.7843137254902,-0.04196762928369191,-0.12974031085579407,-0.11103554839866742,-0.5601596273068608,-0.5805710735388592,0.12890364449508596,0.08621115845704488,-1.9497185018769032,-2.7610470026817038,0.007853403784802654,0.29411764705882354,265482628.64200002
top_pct,top=20%,,,0.2,,51.0,87892.0,345.0,0.0204152506724109,-0.06057299805571814,0.19766805664970719,-0.21278134959906636,-0.4147594318847124,0.12890364449508596,0.0709466514579315,-1.4958225789468471,-2.4721950297580757,0.006833119649219208,0.29411764705882354,488695465.95500004
top_pct,top=30%,,,0.3,,51.0,87892.0,517.3921568627451,0.009316801036930444,-0.06427166277494878,0.14679389830060488,-0.2017837782761948,-0.4265825318775801,0.12890364449508596,0.05462612069083738,-2.086271376586591,-3.1491677971518746,0.006247987784371929,0.29411764705882354,596328890.0375
entry_delay,T+2 h=10,,10.0,,,51.0,87891.0,344.98039215686276,0.016166173104164905,-0.0641940472877841,0.20973235265443052,-0.6011759820701934,-0.22820572818488039,0.08861031895443805,0.07301970040499463,-0.9668122600201735,-2.093588132429745,0.006833121350195873,0.3333333333333333,488695465.95500004
entry_delay,T+2 h=20,,20.0,,,51.0,87888.0,344.98039215686276,0.018821087930850577,-0.06203182149513209,0.19014701588693883,-0.19529034558855685,-0.4154086700243339,0.10828320517952728,0.07317110275878957,-1.2125460639356624,-2.2245889710967175,0.006833121350195873,0.3137254901960784,488695465.95500004
year,2019,,,,,7.0,9850.0,281.85714285714283,-0.09687919526157318,-0.16218204628090183,-0.8459531648176764,-1.500168029839004,-0.08423716281311622,-0.1315735284604631,0.023505263758356095,1.660735075990316,-1.0204317208594693,0.0061817073117207,0.5714285714285714,537998871.32
year,2020,,,,,10.0,13799.0,276.4,-0.15826196429630546,-0.2253617691058042,-0.8906471852135676,-1.333832164382499,-0.17587431571816803,-0.033005958322001594,0.03005252881251365,-4.526791778113523,-5.175988659431425,0.006760868228485768,0.1,373834387.76625
