cohort,n_candidates,n_selected,gross_return,benchmark_return,active_return,cost_total,net_return,net_active_return,commission,stamp_tax,slippage,impact,capacity,adv_missing,buy_turnover,sell_turnover
2020-07,122,25,0.016158960670215862,0.027045752319095003,-0.010886791648879141,0.009909362507909497,0.006249598162306365,-0.02079615415678864,0.0006,0.0005,0.003358713833670164,0.0054506486742393325,134923948.85000002,0.0,1.0,1.0
2020-08,3206,642,-0.057792678289775225,-0.046418564308765724,-0.011374113981009501,0.0031342987911320707,-0.060926977080907295,-0.014508412772141571,0.0006,0.0005,0.0011313365511284423,0.0009029622400036283,2224404789.4560003,0.0,1.0,1.0
2020-09,155,31,-0.09219598738326343,-0.08106223792177986,-0.011133749461483572,0.007276268333486343,-0.09947225571674977,-0.01841001779496991,0.0006,0.0005,0.002980423796836914,0.0031958445366494287,156547097.70250002,0.0,1.0,1.0
2020-10,2219,444,0.0009653025721891762,0.012940730112282264,-0.011975427540093089,0.0035663733962724292,-0.002601070824083253,-0.015541800936365518,0.0006,0.0005,0.0012917082385913005,0.0011746651576811289,988016687.4180002,1.0,1.0,1.0
2020-11,1349,270,0.023515630851566726,0.038293575847273074,-0.014777944995706348,0.004252625009644387,0.019263005841922337,-0.019030570005350737,0.0006,0.0005,0.001711001777020784,0.001441623232623604,384430943.9025,0.0,1.0,1.0
2021-02,26,6,0.017127862169421176,0.005660222683279788,0.011467639486141388,0.01963790075129739,-0.002510038581876213,-0.008170261265156001,0.0006,0.0005,0.00800478525909762,0.01053311549219977,31239637.560000006,0.0,1.0,1.0
2021-03,706,142,-0.0033500355080822142,0.002697577306229585,-0.006047612814311799,0.005385900441733146,-0.00873593594981536,-0.011433513256044945,0.0006,0.0005,0.0021098096959446242,0.002176090745788521,259519865.16349998,0.0,1.0,1.0
2021-04,5668,1134,0.03171466045324983,0.04125252445803417,-0.00953786400478434,0.0030565932630672544,0.028658067190182577,-0.012594457267851595,0.0006,0.0005,0.0011639945112368816,0.0007925987518303731,1815400574.4105,1.0,1.0,1.0
2021-05,1015,203,0.03954398351360223,0.054356784392974124,-0.014812800879371896,0.00471696086667605,0.03482702264692618,-0.019529761746047945,0.0006,0.0005,0.0019305560778985385,0.001686404788777511,296556316.665,0.0,1.0,1.0
2021-07,72,15,0.03750372470783354,0.05525422249625403,-0.017750497788420493,0.011418456433739115,0.026085268274094423,-0.029168954222159607,0.0006,0.0005,0.004558232820602995,0.005760223613136118,82482545.745,0.0,1.0,1.0
2021-08,3424,685,0.020992796819510044,0.0010271489422375186,0.019965647877272525,0.003188746734155442,0.017804050085354604,0.016776901143117084,0.0006,0.0005,0.0011721275079059445,0.0009166192262494977,1390112536.395,0.0,1.0,1.0
2021-09,393,79,-0.0014746351651095553,0.013871706651042611,-0.015346341816152166,0.006401221698323436,-0.00787585686343299,-0.021747563514475602,0.0006,0.0005,0.0029828972225781044,0.0023183244757453317,104935219.67999999,0.0,1.0,1.0
2021-10,2294,459,0.06621012206023172,0.10629530208751296,-0.040085180027281245,0.00353555244369596,0.06267456961653575,-0.04362073247097721,0.0006,0.0005,0.0012288396588577355,0.0012067127848382248,1031174613.7739999,0.0,1.0,1.0
2021-11,1669,334,0.03640253048953514,0.06330511407212941,-0.026902583582594272,0.003841602288477931,0.03256092820105721,-0.0307441858710722,0.0006,0.0005,0.001363091855446703,0.0013785104330312284,630219445.2110001,0.0,1.0,1.0
